no	year	d_or_f	rank	title	author	translator	label	score
0804	2015年	国内篇	07位	『うどん キツネつきの』	高山羽根子		創元日本SF叢書	130点
0805	2015年	国内篇	08位	『波の手紙が響くとき』	オキシタケヒコ		ハヤカワSFシリーズ Jコレクション	124点
0806	2015年	国内篇	09位	『NOVA+ 屍者たちの帝国』	大森望編		河出文庫	098点
0807	2015年	国内篇	10位	『シャッフル航法』	円城塔		河出書房新社・NOVAコレクション	097点
0808	2015年	国内篇	11位	『ビッグデータ・コネクト』	藤井太洋		文春文庫	096点
0809	2015年	国内篇	12位	『絞首台の黙示録』	神林長平		早川書房	093点
0810	2015年	国内篇	13位	『薫香のカナピウム』	上田早夕里		文藝春秋	072点
0811	2015年	国内篇	13位	『ニルヤの島』	柴田勝家		ハヤカワSFシリーズ Jコレクション	072点
0812	2015年	国内篇	15位	『シンドローム』	佐藤哲也		福音館書店・ボクラノSF	071点
0813	2015年	国内篇	16位	『アンダーグラウンド・マーケット』	藤井太洋		朝日新聞出版	065点
0814	2015年	国内篇	17位	『伊藤計劃トリビュート』	早川書房編集部編		ハヤカワ文庫JA	060点
0815	2015年	国内篇	18位	『太陽・惑星』	上田岳弘		新潮社	052点
0816	2015年	国内篇	19位	《定本荒巻義雄メタSF全集》	荒巻義雄 / 巽孝之、三浦祐嗣編		彩流社	048点
0817	2015年	国内篇	20位	『国際SFシンポジウム全記録』	日本SF作家クラブ編 / 巽孝之監修		彩流社	046点
0818	2015年	海外篇	01位	『紙の動物園』	ケン・リュウ	古沢嘉通編訳	新☆ハヤカワ・SF・シリーズ	577点
0819	2015年	海外篇	02位	『神の水』	パオロ・バチガルピ	中原尚哉訳	新☆ハヤカワ・SF・シリーズ	356点
0820	2015年	海外篇	03位	『ゼンデギ』	グレッグ・イーガン	山岸真訳	ハヤカワ文庫SF	251点
0821	2015年	海外篇	04位	『完璧な夏の日(上・下)』	ラヴィ・ティドハー	茂木健訳	創元SF文庫	223点
0822	2015年	海外篇	05位	『ジーン・ウルフの記念日の本』	ジーン・ウルフ	酒井昭伸、宮脇孝雄、柳下毅一郎訳	国書刊行会・未来の文学	155点
0823	2015年	海外篇	06位	『ドリフトグラス』	サミュエル・R・ディレイニー	浅倉久志、伊藤典夫、小野田和子、酒井昭伸、深町眞理子訳	国書刊行会・未来の文学	154点
0824	2015年	海外篇	07位	『寄港地のない船』	ブライアン・オールディス	中村融訳	竹書房文庫	139点
0825	2015年	海外篇	08位	『SF雑誌の歴史 黄金期そして革命』	マイク・アシュリー	牧眞司訳	東京創元社キイ・ライブラリー	103点
